#block size	threads per block	Total threads	Bandwidth/EU Read (bytes/cy)	Theoretical GFLOP/s
1.0	1.0	1.0	0.00770892775138708	
1.0	2.0	2.0	0.015398496240601503	
1.0	4.0	4.0	0.03083571100554832	
1.0	8.0	8.0	0.06163291101146589	
1.0	16.0	16.0	0.12143852471167245	
1.0	32.0	32.0	0.24317805698001468	
1.0	64.0	64.0	0.4869596231293932	
1.0	128.0	128.0	0.9715009969092109	
1.0	256.0	256.0	1.8079021234629205	
2.0	256.0	512.0	3.2699943243125245	
3.0	256.0	768.0	4.479001264366507	
4.0	256.0	1024.0	5.915835914448037	
5.0	256.0	1280.0	7.377438564497428	
6.0	256.0	1536.0	8.894679695982628	
7.0	256.0	1792.0	8.875535069093441	
8.0	256.0	2048.0	8.70191162618932	
9.0	256.0	2304.0	9.662711690864784	
10.0	256.0	2560.0	9.260355656664853	
11.0	256.0	2816.0	9.413264040322264	
12.0	256.0	3072.0	9.843257755443048	
13.0	256.0	3328.0	9.490511916498182	
14.0	256.0	3584.0	8.795745466136527	
15.0	256.0	3840.0	9.867427521775463	
16.0	256.0	4096.0	9.585184034078184	
17.0	256.0	4352.0	9.73735811128227	
18.0	256.0	4608.0	9.881909453023887	
19.0	256.0	4864.0	9.649503550221343	
20.0	256.0	5120.0	9.77241294468945	
21.0	256.0	5376.0	8.398231573551712	
22.0	256.0	5632.0	8.764719649603798	
23.0	256.0	5888.0	9.321309584729242	
24.0	256.0	6144.0	9.082983957589827	
25.0	256.0	6400.0	9.196989535224768	
26.0	256.0	6656.0	7.577991423294971	
27.0	256.0	6912.0	8.082890335665661	
28.0	256.0	7168.0	7.725707020153061	
29.0	256.0	7424.0	8.228237940152374	
30.0	256.0	7680.0	7.686913718295459	
31.0	256.0	7936.0	8.078694678366817	
32.0	256.0	8192.0	8.400545174693239	
64.0	256.0	16384.0	9.532996573688427	
128.0	256.0	32768.0	9.497022064994072	
256.0	256.0	65536.0	9.876735779967738	
512.0	256.0	131072.0	9.89208351648222	
1024.0	256.0	262144.0	9.959091349237825	
2048.0	256.0	524288.0	10.003379458448174	
4096.0	256.0	1048576.0	9.97547583405275	
8192.0	256.0	2097152.0	9.979253904868802	
