#block size	threads per block	Total threads	Bandwidth/EU Read (bytes/cy)	Theoretical GFLOP/s
1.0	1.0	1.0	0.01309328968903437	
1.0	2.0	2.0	0.02627055594037815	
1.0	4.0	4.0	0.05256909640448429	
1.0	8.0	8.0	0.1050822237615126	
1.0	16.0	16.0	0.20021262815734484	
1.0	32.0	32.0	0.3897101673346574	
1.0	64.0	64.0	0.778263347900437	
1.0	128.0	128.0	1.5549847849427285	
1.0	256.0	256.0	2.86757860998835	
2.0	256.0	512.0	5.193129816359278	
3.0	256.0	768.0	7.082356967246333	
4.0	256.0	1024.0	9.51451800232288	
5.0	256.0	1280.0	11.62073383189336	
6.0	256.0	1536.0	13.903831619145278	
7.0	256.0	1792.0	14.07489961610591	
8.0	256.0	2048.0	14.039605286060493	
9.0	256.0	2304.0	15.517498569464815	
10.0	256.0	2560.0	14.834910798919118	
11.0	256.0	2816.0	15.226926610833589	
12.0	256.0	3072.0	15.884225993607384	
13.0	256.0	3328.0	15.484520577510706	
14.0	256.0	3584.0	15.870408088251192	
15.0	256.0	3840.0	16.16792245304935	
16.0	256.0	4096.0	15.812704289177338	
17.0	256.0	4352.0	16.102851320149306	
18.0	256.0	4608.0	16.3603967193164	
19.0	256.0	4864.0	15.991729195362442	
20.0	256.0	5120.0	16.196375117003956	
21.0	256.0	5376.0	13.894312821328246	
22.0	256.0	5632.0	14.51321741384365	
23.0	256.0	5888.0	15.340199470791777	
24.0	256.0	6144.0	15.854205306023708	
25.0	256.0	6400.0	15.233596849888542	
26.0	256.0	6656.0	12.353942135847715	
27.0	256.0	6912.0	11.685352299630514	
28.0	256.0	7168.0	12.079921332735374	
29.0	256.0	7424.0	12.495923139195147	
30.0	256.0	7680.0	12.929462982204628	
31.0	256.0	7936.0	13.365938703745735	
32.0	256.0	8192.0	13.7867125971311	
64.0	256.0	16384.0	15.943566753382513	
128.0	256.0	32768.0	15.540214894405334	
256.0	256.0	65536.0	16.283352107669455	
512.0	256.0	131072.0	16.52027207829821	
1024.0	256.0	262144.0	16.560912881793836	
2048.0	256.0	524288.0	16.66746879131439	
4096.0	256.0	1048576.0	16.611759758104327	
8192.0	256.0	2097152.0	16.661725251419785	
