#block size	threads per block	Total threads	Bandwidth/EU Read (bytes/cy)	Theoretical GFLOP/s
1.0	1.0	1.0	0.0882055257660917	
1.0	2.0	2.0	0.17680702738868626	
1.0	4.0	4.0	0.3528221030643668	
1.0	8.0	8.0	0.7085049568103439	
1.0	16.0	16.0	1.4068651654036881	
1.0	32.0	32.0	2.630224951337467	
1.0	64.0	64.0	5.258234043406747	
1.0	128.0	128.0	10.52533526057978	
1.0	256.0	256.0	20.91066995044421	
2.0	256.0	512.0	41.39129405030938	
3.0	256.0	768.0	61.20569694139622	
4.0	256.0	1024.0	80.8540530120482	
5.0	256.0	1280.0	100.38254609508128	
6.0	256.0	1536.0	119.79048181186394	
7.0	256.0	1792.0	120.78281402983356	
8.0	256.0	2048.0	137.2841057868552	
9.0	256.0	2304.0	151.29875189380274	
10.0	256.0	2560.0	153.03099072540334	
11.0	256.0	2816.0	166.7124748869007	
12.0	256.0	3072.0	179.01170846907854	
13.0	256.0	3328.0	179.2637967425682	
14.0	256.0	3584.0	188.71038609616733	
15.0	256.0	3840.0	200.52577227583922	
16.0	256.0	4096.0	195.701732795978	
17.0	256.0	4352.0	207.1778803128741	
18.0	256.0	4608.0	216.17152281473338	
19.0	256.0	4864.0	211.05819663013597	
20.0	256.0	5120.0	221.4334586307387	
21.0	256.0	5376.0	210.51012633420487	
22.0	256.0	5632.0	191.0456937709887	
23.0	256.0	5888.0	187.3802847541907	
24.0	256.0	6144.0	183.77665641864508	
25.0	256.0	6400.0	180.68616132200646	
26.0	256.0	6656.0	183.25587147946496	
27.0	256.0	6912.0	193.7773701519813	
28.0	256.0	7168.0	200.26894310163127	
29.0	256.0	7424.0	206.24879779159912	
30.0	256.0	7680.0	213.06024586000203	
31.0	256.0	7936.0	220.1928270713872	
32.0	256.0	8192.0	225.45097340970554	
64.0	256.0	16384.0	256.59071539589473	
128.0	256.0	32768.0	310.2711809552871	
256.0	256.0	65536.0	338.11675453308203	
512.0	256.0	131072.0	353.35123462437366	
1024.0	256.0	262144.0	353.3536765681042	
2048.0	256.0	524288.0	353.45062573992715	
4096.0	256.0	1048576.0	351.8706508722649	
8192.0	256.0	2097152.0	198.4733675536526	
