#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.957
1	2	2	0.246	5.913
1	4	4	0.493	11.827
1	8	8	0.986	23.654
1	16	16	0.991	23.785
1	32	32	0.994	23.852
1	64	64	0.994	23.852
1	128	128	0.994	23.852
1	256	256	0.994	23.852
2	256	512	0.994	23.852
3	256	768	0.994	23.852
4	256	1024	1.325	31.789
5	256	1280	1.655	39.719
6	256	1536	1.985	47.642
7	256	1792	2.017	48.409
8	256	2048	2.047	49.123
9	256	2304	2.022	48.533
10	256	2560	1.996	47.907
11	256	2816	1.985	47.630
12	256	3072	1.985	47.628
13	256	3328	1.988	47.705
14	256	3584	1.986	47.663
15	256	3840	1.986	47.665
16	256	4096	1.985	47.651
17	256	4352	1.985	47.642
18	256	4608	1.985	47.650
19	256	4864	1.986	47.653
20	256	5120	1.986	47.662
21	256	5376	1.906	45.753
22	256	5632	1.986	47.655
23	256	5888	1.986	47.669
24	256	6144	1.986	47.655
25	256	6400	1.986	47.663
26	256	6656	1.988	47.700
27	256	6912	1.968	47.226
28	256	7168	1.987	47.692
29	256	7424	1.925	46.200
30	256	7680	1.954	46.885
31	256	7936	1.963	47.122
32	256	8192	1.972	47.327
64	256	16384	1.977	47.459
128	256	32768	1.982	47.578
256	256	65536	1.985	47.641
512	256	131072	1.985	47.630
1024	256	262144	1.985	47.630
2048	256	524288	1.984	47.626
4096	256	1048576	1.985	47.629
