#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.497	11.924
1	2	2	0.994	23.849
1	4	4	1.987	47.697
1	8	8	3.975	95.394
1	16	16	4.015	96.365
1	32	32	4.036	96.857
1	64	64	4.036	96.857
1	128	128	4.036	96.857
1	256	256	4.036	96.857
2	256	512	4.036	96.857
3	256	768	4.036	96.857
4	256	1024	5.380	129.115
5	256	1280	6.723	161.359
6	256	1536	8.066	193.589
7	256	1792	8.064	193.534
8	256	2048	8.067	193.601
9	256	2304	8.066	193.572
10	256	2560	8.067	193.597
11	256	2816	8.067	193.611
12	256	3072	8.067	193.609
13	256	3328	8.067	193.604
14	256	3584	8.067	193.600
15	256	3840	8.067	193.606
16	256	4096	8.067	193.605
17	256	4352	8.067	193.604
18	256	4608	8.067	193.610
19	256	4864	8.067	193.614
20	256	5120	8.068	193.627
21	256	5376	8.021	192.508
22	256	5632	8.022	192.522
23	256	5888	8.066	193.589
24	256	6144	8.066	193.583
25	256	6400	8.066	193.582
26	256	6656	8.072	193.728
27	256	6912	8.054	193.293
28	256	7168	8.027	192.660
29	256	7424	8.069	193.661
30	256	7680	8.062	193.500
31	256	7936	8.056	193.340
32	256	8192	8.059	193.417
64	256	16384	8.065	193.551
128	256	32768	8.062	193.492
256	256	65536	8.060	193.431
512	256	131072	8.058	193.400
1024	256	262144	8.059	193.414
2048	256	524288	8.059	193.411
4096	256	1048576	8.059	193.410
8192	256	2097152	8.059	193.412
