#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	170.667	4096.000
1	2	2	341.333	8192.000
1	4	4	682.667	16384.000
1	8	8	1365.333	32768.000
1	16	16	1724.632	41391.158
1	32	32	1985.939	47662.545
1	64	64	1985.939	47662.545
1	128	128	1985.939	47662.545
1	256	256	1985.939	47662.545
2	256	512	1985.939	47662.545
3	256	768	1985.939	47662.545
4	256	1024	924.059	22177.417
5	256	1280	717.613	17222.710
6	256	1536	725.240	17405.757
7	256	1792	506.733	12161.599
8	256	2048	482.798	11587.142
9	256	2304	426.655	10239.722
10	256	2560	456.697	10960.725
11	256	2816	415.712	9977.080
12	256	3072	442.826	10627.833
13	256	3328	435.413	10449.922
14	256	3584	432.428	10378.271
15	256	3840	440.813	10579.506
16	256	4096	285.259	6846.213
17	256	4352	428.752	10290.047
18	256	4608	440.444	10570.668
19	256	4864	257.565	6181.570
20	256	5120	430.768	10338.437
21	256	5376	440.393	10569.435
22	256	5632	437.553	10501.273
23	256	5888	430.012	10320.299
24	256	6144	293.846	7052.296
25	256	6400	160.419	3850.058
26	256	6656	121.361	2912.672
27	256	6912	132.650	3183.592
28	256	7168	163.660	3927.842
29	256	7424	191.089	4586.128
30	256	7680	284.867	6836.805
31	256	7936	346.792	8323.008
32	256	8192	360.665	8655.951
64	256	16384	370.716	8897.184
128	256	32768	414.082	9937.974
256	256	65536	411.512	9876.288
512	256	131072	411.097	9866.321
1024	256	262144	410.184	9844.426
