#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.007	0.169
1	2	2	0.014	0.338
1	4	4	0.028	0.676
1	8	8	0.063	1.524
1	16	16	0.110	2.630
1	32	32	0.167	4.000
1	64	64	0.167	4.000
1	128	128	0.167	4.000
1	256	256	0.167	4.000
2	256	512	0.167	4.000
3	256	768	0.167	4.000
4	256	1024	0.175	4.208
5	256	1280	0.181	4.344
6	256	1536	0.185	4.439
7	256	1792	0.185	4.443
8	256	2048	0.185	4.446
9	256	2304	0.185	4.448
10	256	2560	0.186	4.465
11	256	2816	0.187	4.489
12	256	3072	0.188	4.504
13	256	3328	0.189	4.546
14	256	3584	0.191	4.587
15	256	3840	0.192	4.610
16	256	4096	0.191	4.577
17	256	4352	0.190	4.554
18	256	4608	0.189	4.527
19	256	4864	0.189	4.534
20	256	5120	0.189	4.544
21	256	5376	0.188	4.519
22	256	5632	0.188	4.506
23	256	5888	0.187	4.494
24	256	6144	0.188	4.509
25	256	6400	0.188	4.500
26	256	6656	0.189	4.533
27	256	6912	0.187	4.487
28	256	7168	0.186	4.467
29	256	7424	0.189	4.543
30	256	7680	0.191	4.578
31	256	7936	0.192	4.608
32	256	8192	0.190	4.549
64	256	16384	0.185	4.433
128	256	32768	0.167	4.013
256	256	65536	0.158	3.792
512	256	131072	0.155	3.727
1024	256	262144	0.153	3.681
2048	256	524288	0.153	3.669
4096	256	1048576	0.152	3.647
8192	256	2097152	0.151	3.635
16384	256	4194304	0.151	3.630
