#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.957
1	2	2	0.246	5.913
1	4	4	0.493	11.827
1	8	8	0.986	23.654
1	16	16	0.991	23.785
1	32	32	0.994	23.852
1	64	64	0.994	23.852
1	128	128	0.994	23.852
1	256	256	0.994	23.852
2	256	512	0.994	23.852
3	256	768	0.994	23.852
4	256	1024	1.325	31.789
5	256	1280	1.655	39.719
6	256	1536	1.985	47.642
7	256	1792	2.017	48.406
8	256	2048	2.046	49.099
9	256	2304	2.030	48.711
10	256	2560	1.997	47.935
11	256	2816	1.985	47.632
12	256	3072	1.985	47.634
13	256	3328	1.988	47.718
14	256	3584	1.986	47.654
15	256	3840	1.986	47.667
16	256	4096	1.985	47.651
17	256	4352	1.985	47.650
18	256	4608	1.986	47.664
19	256	4864	1.985	47.651
20	256	5120	1.986	47.653
21	256	5376	1.928	46.281
22	256	5632	1.986	47.660
23	256	5888	1.986	47.664
24	256	6144	1.986	47.675
25	256	6400	1.986	47.665
26	256	6656	1.978	47.476
27	256	6912	1.955	46.911
28	256	7168	1.975	47.406
29	256	7424	1.978	47.462
30	256	7680	1.964	47.144
31	256	7936	1.968	47.241
32	256	8192	1.975	47.407
64	256	16384	1.993	47.830
128	256	32768	1.982	47.572
256	256	65536	1.986	47.662
512	256	131072	1.984	47.620
1024	256	262144	1.984	47.626
2048	256	524288	1.985	47.629
4096	256	1048576	1.985	47.628
