#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.957
1	2	2	0.246	5.913
1	4	4	0.493	11.827
1	8	8	0.986	23.654
1	16	16	0.991	23.785
1	32	32	0.994	23.852
1	64	64	0.994	23.852
1	128	128	0.994	23.852
1	256	256	0.994	23.852
2	256	512	0.994	23.852
3	256	768	0.994	23.852
4	256	1024	1.325	31.789
5	256	1280	1.655	39.719
6	256	1536	1.985	47.642
7	256	1792	2.017	48.396
8	256	2048	2.047	49.137
9	256	2304	2.028	48.666
10	256	2560	1.997	47.930
11	256	2816	1.986	47.653
12	256	3072	1.985	47.636
13	256	3328	1.988	47.717
14	256	3584	1.985	47.648
15	256	3840	1.987	47.682
16	256	4096	1.986	47.653
17	256	4352	1.986	47.652
18	256	4608	1.985	47.643
19	256	4864	1.985	47.644
20	256	5120	1.986	47.664
21	256	5376	1.907	45.757
22	256	5632	1.975	47.388
23	256	5888	1.986	47.656
24	256	6144	1.986	47.661
25	256	6400	1.986	47.658
26	256	6656	1.958	46.988
27	256	6912	1.948	46.763
28	256	7168	1.971	47.310
29	256	7424	1.959	47.011
30	256	7680	1.981	47.534
31	256	7936	1.972	47.321
32	256	8192	1.972	47.323
64	256	16384	1.982	47.565
128	256	32768	1.986	47.665
256	256	65536	1.983	47.599
512	256	131072	1.985	47.639
1024	256	262144	1.984	47.623
2048	256	524288	1.985	47.631
4096	256	1048576	1.985	47.629
