#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.957
1	2	2	0.246	5.913
1	4	4	0.493	11.827
1	8	8	0.986	23.654
1	16	16	0.991	23.785
1	32	32	0.994	23.852
1	64	64	0.994	23.852
1	128	128	0.994	23.852
1	256	256	0.994	23.852
2	256	512	0.994	23.852
3	256	768	0.994	23.852
4	256	1024	1.325	31.789
5	256	1280	1.655	39.719
6	256	1536	1.985	47.642
7	256	1792	2.017	48.413
8	256	2048	2.047	49.120
9	256	2304	2.029	48.705
10	256	2560	1.996	47.903
11	256	2816	1.984	47.625
12	256	3072	1.985	47.635
13	256	3328	1.988	47.704
14	256	3584	1.986	47.657
15	256	3840	1.986	47.675
16	256	4096	1.986	47.653
17	256	4352	1.985	47.642
18	256	4608	1.985	47.645
19	256	4864	1.985	47.647
20	256	5120	1.986	47.655
21	256	5376	1.907	45.757
22	256	5632	1.985	47.652
23	256	5888	1.986	47.657
24	256	6144	1.985	47.649
25	256	6400	1.986	47.659
26	256	6656	1.954	46.907
27	256	6912	1.966	47.174
28	256	7168	1.949	46.779
29	256	7424	1.952	46.859
30	256	7680	1.971	47.306
31	256	7936	1.987	47.693
32	256	8192	1.977	47.446
64	256	16384	1.988	47.705
128	256	32768	1.983	47.590
256	256	65536	1.985	47.637
512	256	131072	1.985	47.639
1024	256	262144	1.985	47.630
2048	256	524288	1.985	47.630
4096	256	1048576	1.985	47.629
