#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.022	0.522
1	2	2	0.043	1.043
1	4	4	0.087	2.087
1	8	8	0.174	4.174
1	16	16	0.195	4.683
1	32	32	0.208	4.987
1	64	64	0.208	4.987
1	128	128	0.208	4.987
1	256	256	0.208	4.987
2	256	512	0.208	4.987
3	256	768	0.208	4.987
4	256	1024	0.255	6.120
5	256	1280	0.295	7.085
6	256	1536	0.330	7.918
7	256	1792	0.344	8.245
8	256	2048	0.357	8.557
9	256	2304	0.365	8.772
10	256	2560	0.354	8.486
11	256	2816	0.347	8.340
12	256	3072	0.341	8.177
13	256	3328	0.346	8.292
14	256	3584	0.347	8.322
15	256	3840	0.351	8.427
16	256	4096	0.353	8.480
17	256	4352	0.350	8.402
18	256	4608	0.348	8.343
19	256	4864	0.349	8.367
20	256	5120	0.352	8.449
21	256	5376	0.343	8.240
22	256	5632	0.339	8.140
23	256	5888	0.334	8.014
24	256	6144	0.330	7.929
25	256	6400	0.329	7.904
26	256	6656	0.320	7.673
27	256	6912	0.331	7.950
28	256	7168	0.328	7.868
29	256	7424	0.327	7.847
30	256	7680	0.334	8.005
31	256	7936	0.316	7.591
32	256	8192	0.324	7.785
64	256	16384	0.281	6.750
128	256	32768	0.259	6.224
256	256	65536	0.250	6.009
512	256	131072	0.247	5.922
1024	256	262144	0.246	5.894
2048	256	524288	0.244	5.858
4096	256	1048576	0.244	5.846
8192	256	2097152	0.243	5.842
16384	256	4194304	0.243	5.833
