#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.472	11.336
1	2	2	0.945	22.672
1	4	4	1.889	45.343
1	8	8	3.779	90.686
1	16	16	3.861	92.652
1	32	32	3.903	93.667
1	64	64	3.903	93.667
1	128	128	3.903	93.667
1	256	256	3.903	93.667
2	256	512	3.903	93.667
3	256	768	3.903	93.667
4	256	1024	5.195	124.682
5	256	1280	6.483	155.594
6	256	1536	7.767	186.402
7	256	1792	7.769	186.448
8	256	2048	7.770	186.489
9	256	2304	7.773	186.543
10	256	2560	7.770	186.468
11	256	2816	7.771	186.499
12	256	3072	7.772	186.536
13	256	3328	7.772	186.530
14	256	3584	7.773	186.557
15	256	3840	7.772	186.538
16	256	4096	7.772	186.529
17	256	4352	7.770	186.492
18	256	4608	7.772	186.523
19	256	4864	7.773	186.547
20	256	5120	7.775	186.602
21	256	5376	7.636	183.272
22	256	5632	7.727	185.458
23	256	5888	7.774	186.571
24	256	6144	7.774	186.574
25	256	6400	7.772	186.538
26	256	6656	7.775	186.611
27	256	6912	7.808	187.391
28	256	7168	7.754	186.101
29	256	7424	7.777	186.643
30	256	7680	7.747	185.923
31	256	7936	7.733	185.601
32	256	8192	7.745	185.872
64	256	16384	7.761	186.269
128	256	32768	7.739	185.734
256	256	65536	7.717	185.207
512	256	131072	7.712	185.083
1024	256	262144	7.709	185.011
2048	256	524288	7.707	184.967
4096	256	1048576	7.707	184.957
8192	256	2097152	7.706	184.954
16384	256	4194304	7.706	184.947
