#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0,375	600
1	2	2	0,75	1200
1	4	4	1,5	2400
1	8	8	3	4800
1	16	16	3,4285714286	5486
1	32	32	3,6923076923	5908
1	64	64	3,6923076923	5908
1	128	128	3,6923076923	5908
1	256	256	3,6923076923	5908
2	256	512	3,6923076923	5908
3	256	768	3,6923076923	5908
4	256	1024	4,4651162791	7144
5	256	1280	5,1063829787	8170
6	256	1536	5,6470588235	9035
7	256	1792	5,9154929577	9456
8	256	2048	6,1637239165	9854
9	256	2304	6,3552776756	10172
10	256	2560	6,0952380952	9755
11	256	2816	5,9109991604	9452
12	256	3072	5,7700976709	9225
13	256	3328	5,9259259259	9443
14	256	3584	6,0174613835	9630
15	256	3840	6,1198470038	9786
16	256	4096	6,0639557837	9714
17	256	4352	6,0399703923	9659
18	256	4608	5,9947961839	9626
19	256	4864	6,0492496476	9675
20	256	5120	6,0865430338	9729
21	256	5376	5,9390190013	9504
22	256	5632	5,9576868829	9376
23	256	5888	5,7952755906	9260
24	256	6144	5,7391954166	9204
25	256	6400	5,546568061	8980
26	256	6656	5,5813953488	9065
27	256	6912	5,4499579479	9130
28	256	7168	5,5560148822	9074
29	256	7424	5,646772476	8864
30	256	7680	5,4160789845	8916
31	256	7936	5,4748654739	8906
32	256	8192	5,2792576044	8637
64	256	16384	4,5697285236	7591
128	256	32768	4,2905402456	7053
256	256	65536	4,2194904196	6928
512	256	131072	4,1578743679	6800
1024	256	262144	4,141679271	6741
2048	256	524288	4,1498310902	6706
4096	256	1048576	4,1418930378	6664
8192	256	2097152	4,1486500423	6643
16384	256	4194304	4,1440412005	6630
