#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	21.333	512.000
1	2	2	42.667	1024.000
1	4	4	85.333	2048.000
1	8	8	170.667	4096.000
1	16	16	215.579	5173.895
1	32	32	248.242	5957.818
1	64	64	248.242	5957.818
1	128	128	248.242	5957.818
1	256	256	248.242	5957.818
2	256	512	248.242	5957.818
3	256	768	248.242	5957.818
4	256	1024	227.803	5467.266
5	256	1280	231.208	5549.000
6	256	1536	256.501	6156.023
7	256	1792	228.377	5481.044
8	256	2048	225.816	5419.581
9	256	2304	216.330	5191.922
10	256	2560	227.437	5458.490
11	256	2816	221.968	5327.228
12	256	3072	228.714	5489.128
13	256	3328	227.010	5448.237
14	256	3584	222.790	5346.955
15	256	3840	228.097	5474.322
16	256	4096	177.349	4256.376
17	256	4352	226.999	5447.980
18	256	4608	232.168	5572.043
19	256	4864	168.422	4042.122
20	256	5120	231.361	5552.673
21	256	5376	231.957	5566.956
22	256	5632	232.510	5580.230
23	256	5888	230.469	5531.267
24	256	6144	185.561	4453.471
25	256	6400	131.522	3156.523
26	256	6656	99.478	2387.475
27	256	6912	109.460	2627.035
28	256	7168	124.504	2988.105
29	256	7424	152.857	3668.561
30	256	7680	184.522	4428.524
31	256	7936	205.473	4931.356
32	256	8192	212.714	5105.147
64	256	16384	201.838	4844.123
128	256	32768	191.430	4594.321
256	256	65536	181.235	4349.645
512	256	131072	176.673	4240.156
1024	256	262144	174.631	4191.144
2048	256	524288	173.849	4172.384
4096	256	1048576	173.256	4158.146
8192	256	2097152	172.958	4151.002
16384	256	4194304	152.669	3664.046
