#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.472	11.336
1	2	2	0.945	22.672
1	4	4	1.889	45.343
1	8	8	3.779	90.686
1	16	16	3.861	92.652
1	32	32	3.903	93.667
1	64	64	3.903	93.667
1	128	128	3.903	93.667
1	256	256	3.903	93.667
2	256	512	3.903	93.667
3	256	768	3.903	93.667
4	256	1024	5.195	124.682
5	256	1280	6.483	155.594
6	256	1536	7.767	186.402
7	256	1792	7.765	186.365
8	256	2048	7.768	186.429
9	256	2304	7.769	186.466
10	256	2560	7.773	186.555
11	256	2816	7.770	186.474
12	256	3072	7.771	186.512
13	256	3328	7.770	186.487
14	256	3584	7.770	186.490
15	256	3840	7.770	186.469
16	256	4096	7.771	186.496
17	256	4352	7.771	186.514
18	256	4608	7.771	186.514
19	256	4864	7.773	186.562
20	256	5120	7.773	186.560
21	256	5376	7.597	182.329
22	256	5632	7.730	185.510
23	256	5888	7.773	186.562
24	256	6144	7.775	186.609
25	256	6400	7.774	186.583
26	256	6656	7.773	186.552
27	256	6912	7.700	184.795
28	256	7168	7.647	183.539
29	256	7424	7.647	183.528
30	256	7680	7.631	183.151
31	256	7936	7.664	183.935
32	256	8192	7.729	185.490
64	256	16384	7.741	185.774
128	256	32768	7.734	185.606
256	256	65536	7.718	185.237
512	256	131072	7.712	185.093
1024	256	262144	7.709	185.011
2048	256	524288	7.708	184.984
4096	256	1048576	7.707	184.964
8192	256	2097152	7.706	184.955
16384	256	4194304	7.661	183.859
