#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.472	11.336
1	2	2	0.945	22.672
1	4	4	1.889	45.343
1	8	8	3.779	90.686
1	16	16	3.861	92.652
1	32	32	3.903	93.667
1	64	64	3.903	93.667
1	128	128	3.903	93.667
1	256	256	3.903	93.667
2	256	512	3.903	93.667
3	256	768	3.903	93.667
4	256	1024	5.195	124.682
5	256	1280	6.483	155.594
6	256	1536	7.767	186.402
7	256	1792	7.769	186.458
8	256	2048	7.770	186.483
9	256	2304	7.770	186.480
10	256	2560	7.768	186.436
11	256	2816	7.771	186.512
12	256	3072	7.772	186.535
13	256	3328	7.771	186.509
14	256	3584	7.772	186.536
15	256	3840	7.769	186.453
16	256	4096	7.773	186.544
17	256	4352	7.771	186.507
18	256	4608	7.771	186.513
19	256	4864	7.772	186.531
20	256	5120	7.772	186.533
21	256	5376	7.550	181.205
22	256	5632	7.711	185.064
23	256	5888	7.774	186.574
24	256	6144	7.773	186.556
25	256	6400	7.772	186.529
26	256	6656	7.774	186.574
27	256	6912	7.838	188.109
28	256	7168	7.735	185.638
29	256	7424	7.776	186.624
30	256	7680	7.751	186.025
31	256	7936	7.763	186.307
32	256	8192	7.761	186.257
64	256	16384	7.749	185.966
128	256	32768	7.728	185.482
256	256	65536	7.717	185.209
512	256	131072	7.711	185.071
1024	256	262144	7.708	184.994
2048	256	524288	7.708	184.984
4096	256	1048576	7.707	184.960
8192	256	2097152	7.706	184.953
16384	256	4194304	7.661	183.853
