#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.025	0.600
1	2	2	0.050	1.200
1	4	4	0.100	2.400
1	8	8	0.200	4.800
1	16	16	0.229	5.486
1	32	32	0.246	5.908
1	64	64	0.246	5.908
1	128	128	0.246	5.908
1	256	256	0.246	5.908
2	256	512	0.246	5.908
3	256	768	0.246	5.908
4	256	1024	0.298	7.144
5	256	1280	0.340	8.170
6	256	1536	0.376	9.035
7	256	1792	0.392	9.419
8	256	2048	0.410	9.846
9	256	2304	0.423	10.146
10	256	2560	0.407	9.762
11	256	2816	0.394	9.455
12	256	3072	0.384	9.221
13	256	3328	0.398	9.554
14	256	3584	0.402	9.637
15	256	3840	0.408	9.790
16	256	4096	0.405	9.727
17	256	4352	0.403	9.684
18	256	4608	0.401	9.615
19	256	4864	0.403	9.670
20	256	5120	0.406	9.732
21	256	5376	0.398	9.540
22	256	5632	0.390	9.353
23	256	5888	0.384	9.222
24	256	6144	0.382	9.157
25	256	6400	0.376	9.034
26	256	6656	0.373	8.964
27	256	6912	0.373	8.947
28	256	7168	0.379	9.099
29	256	7424	0.377	9.050
30	256	7680	0.382	9.180
31	256	7936	0.368	8.842
32	256	8192	0.362	8.684
64	256	16384	0.319	7.651
128	256	32768	0.293	7.037
256	256	65536	0.287	6.895
512	256	131072	0.284	6.812
1024	256	262144	0.280	6.729
2048	256	524288	0.279	6.698
4096	256	1048576	0.278	6.679
8192	256	2097152	0.277	6.643
16384	256	4194304	0.276	6.630
