#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	77.283	1854.792
1	2	2	154.566	3709.585
1	4	4	309.132	7419.170
1	8	8	618.264	14838.340
1	16	16	618.264	14838.340
1	32	32	618.264	14838.340
1	64	64	618.264	14838.340
1	128	128	618.264	14838.340
1	256	256	1.660	39.849
2	256	512	6.735	161.640
3	256	768	128.311	3079.456
4	256	1024	3.930	94.320
5	256	1280	6.908	165.793
6	256	1536	1.987	47.691
7	256	1792	1.404	33.690
8	256	2048	1.923	46.152
9	256	2304	3.310	79.444
10	256	2560	9.112	218.686
11	256	2816	3.896	93.516
12	256	3072	2.329	55.897
13	256	3328	2.189	52.543
14	256	3584	4.214	101.126
15	256	3840	10.847	260.337
16	256	4096	5.185	124.452
17	256	4352	3.876	93.016
18	256	4608	4.430	106.331
19	256	4864	6.354	152.506
20	256	5120	6.105	146.509
21	256	5376	5.551	133.218
22	256	5632	4.518	108.438
23	256	5888	5.417	130.015
24	256	6144	9.240	221.769
25	256	6400	16.571	397.712
26	256	6656	7.089	170.142
27	256	6912	6.298	151.164
28	256	7168	7.175	172.205
29	256	7424	9.527	228.658
30	256	7680	13.683	328.387
31	256	7936	7.490	179.770
32	256	8192	7.075	169.807
64	256	16384	18.032	432.769
128	256	32768	30.836	740.059
256	256	65536	63.868	1532.823
512	256	131072	60.002	1440.053
1024	256	262144	95.849	2300.374
