#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.004	0.091
1	2	2	0.008	0.182
1	4	4	0.015	0.363
1	8	8	0.030	0.726
1	16	16	0.030	0.726
1	32	32	0.030	0.726
1	64	64	0.030	0.726
1	128	128	0.030	0.726
1	256	256	0.040	0.968
2	256	512	0.061	1.460
3	256	768	0.061	1.461
4	256	1024	0.061	1.458
5	256	1280	0.061	1.456
6	256	1536	0.060	1.448
7	256	1792	0.061	1.464
8	256	2048	0.061	1.468
9	256	2304	0.061	1.457
10	256	2560	0.061	1.456
11	256	2816	0.061	1.459
12	256	3072	0.061	1.459
13	256	3328	0.061	1.456
14	256	3584	0.061	1.453
15	256	3840	0.061	1.458
16	256	4096	0.061	1.468
17	256	4352	0.060	1.452
18	256	4608	0.061	1.456
19	256	4864	0.061	1.458
20	256	5120	0.061	1.456
21	256	5376	0.061	1.457
22	256	5632	0.061	1.455
23	256	5888	0.060	1.452
24	256	6144	0.060	1.452
25	256	6400	0.061	1.456
26	256	6656	0.061	1.453
27	256	6912	0.061	1.457
28	256	7168	0.061	1.453
29	256	7424	0.061	1.456
30	256	7680	0.061	1.457
31	256	7936	0.061	1.457
32	256	8192	0.061	1.461
64	256	16384	0.061	1.456
128	256	32768	0.061	1.455
256	256	65536	0.061	1.456
512	256	131072	0.061	1.456
1024	256	262144	0.061	1.456
2048	256	524288	0.061	1.457
4096	256	1048576	0.061	1.456
