#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.008	0.203
1	2	2	0.017	0.407
1	4	4	0.034	0.814
1	8	8	0.068	1.627
1	16	16	0.071	1.699
1	32	32	0.071	1.699
1	64	64	0.071	1.699
1	128	128	0.071	1.699
1	256	256	0.071	1.699
2	256	512	0.089	2.147
3	256	768	0.127	3.055
4	256	1024	0.123	2.963
5	256	1280	0.122	2.920
6	256	1536	0.117	2.816
7	256	1792	0.115	2.751
8	256	2048	0.114	2.735
9	256	2304	0.125	3.007
10	256	2560	0.126	3.030
11	256	2816	0.119	2.863
12	256	3072	0.114	2.744
13	256	3328	0.112	2.689
14	256	3584	0.109	2.623
15	256	3840	0.106	2.551
16	256	4096	0.103	2.474
17	256	4352	0.101	2.418
18	256	4608	0.099	2.367
19	256	4864	0.096	2.313
20	256	5120	0.096	2.295
21	256	5376	0.094	2.258
22	256	5632	0.094	2.249
23	256	5888	0.093	2.226
24	256	6144	0.092	2.219
25	256	6400	0.092	2.204
26	256	6656	0.091	2.173
27	256	6912	0.090	2.172
28	256	7168	0.089	2.145
29	256	7424	0.089	2.142
30	256	7680	0.089	2.132
31	256	7936	0.089	2.135
32	256	8192	0.088	2.124
64	256	16384	0.084	2.006
128	256	32768	0.082	1.956
256	256	65536	0.081	1.935
512	256	131072	0.080	1.924
1024	256	262144	0.080	1.919
2048	256	524288	0.080	1.917
4096	256	1048576	0.080	1.917
8192	256	2097152	0.080	1.916
16384	256	4194304	0.080	1.915
