#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.007	0.160
1	2	2	0.013	0.320
1	4	4	0.027	0.640
1	8	8	0.053	1.280
1	16	16	0.055	1.324
1	32	32	0.055	1.324
1	64	64	0.055	1.324
1	128	128	0.055	1.324
1	256	256	0.055	1.324
2	256	512	0.072	1.718
3	256	768	0.102	2.446
4	256	1024	0.099	2.367
5	256	1280	0.102	2.439
6	256	1536	0.104	2.494
7	256	1792	0.103	2.461
8	256	2048	0.103	2.462
9	256	2304	0.105	2.526
10	256	2560	0.103	2.484
11	256	2816	0.099	2.387
12	256	3072	0.095	2.287
13	256	3328	0.096	2.301
14	256	3584	0.096	2.298
15	256	3840	0.095	2.279
16	256	4096	0.093	2.238
17	256	4352	0.092	2.212
18	256	4608	0.091	2.194
19	256	4864	0.090	2.151
20	256	5120	0.089	2.137
21	256	5376	0.089	2.133
22	256	5632	0.089	2.125
23	256	5888	0.088	2.119
24	256	6144	0.089	2.127
25	256	6400	0.088	2.113
26	256	6656	0.087	2.096
27	256	6912	0.088	2.101
28	256	7168	0.087	2.083
29	256	7424	0.086	2.073
30	256	7680	0.087	2.077
31	256	7936	0.086	2.069
32	256	8192	0.086	2.071
64	256	16384	0.085	2.040
128	256	32768	0.085	2.031
256	256	65536	0.085	2.030
512	256	131072	0.084	2.027
1024	256	262144	0.084	2.027
2048	256	524288	0.084	2.027
4096	256	1048576	0.084	2.026
8192	256	2097152	0.084	2.026
16384	256	4194304	0.084	2.027
