#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.016	0.378
1	2	2	0.031	0.755
1	4	4	0.063	1.510
1	8	8	0.126	3.020
1	16	16	0.126	3.020
1	32	32	0.126	3.020
1	64	64	0.126	3.020
1	128	128	0.126	3.020
1	256	256	0.168	4.027
2	256	512	0.252	6.040
3	256	768	0.252	6.040
4	256	1024	0.252	6.041
5	256	1280	0.252	6.040
6	256	1536	0.252	6.040
7	256	1792	0.251	6.029
8	256	2048	0.251	6.029
9	256	2304	0.252	6.036
10	256	2560	0.252	6.042
11	256	2816	0.252	6.041
12	256	3072	0.252	6.039
13	256	3328	0.252	6.039
14	256	3584	0.252	6.037
15	256	3840	0.243	5.842
16	256	4096	0.252	6.039
17	256	4352	0.252	6.038
18	256	4608	0.252	6.040
19	256	4864	0.252	6.040
20	256	5120	0.252	6.040
21	256	5376	0.251	6.035
22	256	5632	0.252	6.047
23	256	5888	0.252	6.036
24	256	6144	0.252	6.039
25	256	6400	0.252	6.039
26	256	6656	0.251	6.035
27	256	6912	0.251	6.035
28	256	7168	0.252	6.040
29	256	7424	0.252	6.037
30	256	7680	0.252	6.041
31	256	7936	0.252	6.037
32	256	8192	0.252	6.041
64	256	16384	0.252	6.041
128	256	32768	0.252	6.038
256	256	65536	0.252	6.040
512	256	131072	0.251	6.030
1024	256	262144	0.251	6.036
