#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.010	0.249
1	2	2	0.021	0.499
1	4	4	0.042	0.997
1	8	8	0.166	3.973
1	16	16	0.166	3.973
1	32	32	0.166	3.973
1	64	64	0.166	3.973
1	128	128	0.166	3.973
1	256	256	0.134	3.205
2	256	512	0.113	2.718
3	256	768	0.116	2.776
4	256	1024	0.109	2.624
5	256	1280	0.102	2.450
6	256	1536	0.103	2.462
7	256	1792	0.103	2.467
8	256	2048	0.103	2.462
9	256	2304	0.103	2.463
10	256	2560	0.101	2.434
11	256	2816	0.102	2.449
12	256	3072	0.102	2.446
13	256	3328	0.102	2.442
14	256	3584	0.102	2.442
15	256	3840	0.101	2.431
16	256	4096	0.102	2.442
17	256	4352	0.101	2.435
18	256	4608	0.102	2.437
19	256	4864	0.101	2.428
20	256	5120	0.101	2.419
21	256	5376	0.101	2.425
22	256	5632	0.102	2.445
23	256	5888	0.101	2.429
24	256	6144	0.102	2.439
25	256	6400	0.101	2.417
26	256	6656	0.101	2.433
27	256	6912	0.101	2.432
28	256	7168	0.101	2.417
29	256	7424	0.101	2.429
30	256	7680	0.101	2.431
31	256	7936	0.101	2.420
32	256	8192	0.102	2.436
64	256	16384	0.101	2.424
128	256	32768	0.101	2.423
256	256	65536	0.101	2.430
512	256	131072	0.101	2.428
1024	256	262144	0.101	2.426
2048	256	524288	0.101	2.429
4096	256	1048576	0.101	2.428
