#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.004	0.098
1	2	2	0.008	0.195
1	4	4	0.016	0.390
1	8	8	0.037	0.897
1	16	16	0.071	1.699
1	32	32	0.125	3.000
1	64	64	0.125	3.000
1	128	128	0.125	3.000
1	256	256	0.125	3.000
2	256	512	0.125	3.000
3	256	768	0.125	3.000
4	256	1024	0.121	2.904
5	256	1280	0.119	2.849
6	256	1536	0.118	2.834
7	256	1792	0.118	2.841
8	256	2048	0.119	2.853
9	256	2304	0.120	2.878
10	256	2560	0.121	2.895
11	256	2816	0.120	2.889
12	256	3072	0.121	2.896
13	256	3328	0.123	2.942
14	256	3584	0.124	2.965
15	256	3840	0.125	2.993
16	256	4096	0.124	2.966
17	256	4352	0.123	2.956
18	256	4608	0.123	2.954
19	256	4864	0.123	2.952
20	256	5120	0.123	2.956
21	256	5376	0.123	2.955
22	256	5632	0.123	2.955
23	256	5888	0.123	2.957
24	256	6144	0.124	2.972
25	256	6400	0.124	2.972
26	256	6656	0.123	2.960
27	256	6912	0.124	2.964
28	256	7168	0.123	2.942
29	256	7424	0.123	2.948
30	256	7680	0.123	2.945
31	256	7936	0.123	2.954
32	256	8192	0.124	2.979
64	256	16384	0.123	2.947
128	256	32768	0.110	2.651
256	256	65536	0.105	2.526
512	256	131072	0.100	2.410
1024	256	262144	0.101	2.430
2048	256	524288	0.100	2.400
4096	256	1048576	0.100	2.406
8192	256	2097152	0.100	2.395
16384	256	4194304	0.100	2.400
