#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0,4047619048	571
1	2	2	0,8095238095	1143
1	4	4	1,619047619	2286
1	8	8	3,2380952381	4571
1	16	16	3,6756756757	5189
1	32	32	3,9420289855	5565
1	64	64	3,9420289855	5565
1	128	128	3,9420289855	5565
1	256	256	3,9420289855	5565
2	256	512	3,9420289855	5565
3	256	768	3,9420289855	5565
4	256	1024	4,7929515419	6767
5	256	1280	5,5060728745	7773
6	256	1536	6,1123595506	8629
7	256	1792	6,378559464	9005
8	256	2048	6,6442748092	9373
9	256	2304	6,8571428571	9640
10	256	2560	6,609963548	9320
11	256	2816	6,4206008584	9055
12	256	3072	6,2528735632	8853
13	256	3328	6,3942133816	8991
14	256	3584	6,4706881903	9170
15	256	3840	6,591276252	9317
16	256	4096	6,5839636914	9288
17	256	4352	6,5588652482	9250
18	256	4608	6,4890656064	9195
19	256	4864	6,5242228184	9218
20	256	5120	6,5453451647	9243
21	256	5376	6,4324324324	9041
22	256	5632	6,3389830508	8973
23	256	5888	6,1833456882	8874
24	256	6144	6,4275692308	8793
25	256	6400	6,2774059543	8698
26	256	6656	6,2939147847	8650
27	256	6912	6,1610738255	8685
28	256	7168	6,0721546741	8603
29	256	7424	6,0467612112	8751
30	256	7680	5,9763801154	8697
31	256	7936	5,9881047492	8713
32	256	8192	5,7790688024	8695
64	256	16384	5,3701461458	7648
128	256	32768	4,7761849235	6858
256	256	65536	4,6002328789	6624
512	256	131072	4,5317106505	6451
1024	256	262144	4,5706596432	6390
2048	256	524288	4,4873117301	6342
4096	256	1048576	4,4668938312	6308
8192	256	2097152	4,4608575577	6301
16384	256	4194304	4,4595035961	6296
