#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.951
1	2	2	0.246	5.902
1	4	4	0.492	11.804
1	8	8	0.984	23.608
1	16	16	0.994	23.854
1	32	32	0.999	23.980
1	64	64	0.999	23.980
1	128	128	0.999	23.980
1	256	256	0.999	23.980
2	256	512	0.999	23.980
3	256	768	0.999	23.980
4	256	1024	1.332	31.959
5	256	1280	1.664	39.932
6	256	1536	1.996	47.898
7	256	1792	2.001	48.013
8	256	2048	2.003	48.079
9	256	2304	1.992	47.813
10	256	2560	1.995	47.884
11	256	2816	1.996	47.906
12	256	3072	1.996	47.899
13	256	3328	1.997	47.938
14	256	3584	1.997	47.924
15	256	3840	1.998	47.949
16	256	4096	1.996	47.910
17	256	4352	1.996	47.903
18	256	4608	1.996	47.897
19	256	4864	1.996	47.908
20	256	5120	1.996	47.907
21	256	5376	1.917	45.998
22	256	5632	1.996	47.908
23	256	5888	1.996	47.912
24	256	6144	1.996	47.908
25	256	6400	1.997	47.919
26	256	6656	1.994	47.867
27	256	6912	1.996	47.914
28	256	7168	1.970	47.287
29	256	7424	1.976	47.419
30	256	7680	1.993	47.829
31	256	7936	1.979	47.507
32	256	8192	1.990	47.758
64	256	16384	1.999	47.975
128	256	32768	1.996	47.895
256	256	65536	1.995	47.884
512	256	131072	1.995	47.875
1024	256	262144	1.995	47.868
2048	256	524288	1.995	47.870
4096	256	1048576	1.995	47.871
8192	256	2097152	1.995	47.870
16384	256	4194304	1.988	47.724
