#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.011	0.255
1	2	2	0.021	0.511
1	4	4	0.043	1.021
1	8	8	0.085	2.043
1	16	16	0.090	2.157
1	32	32	0.092	2.220
1	64	64	0.092	2.220
1	128	128	0.092	2.220
1	256	256	0.092	2.220
2	256	512	0.092	2.220
3	256	768	0.092	2.220
4	256	1024	0.119	2.850
5	256	1280	0.143	3.435
6	256	1536	0.166	3.979
7	256	1792	0.167	4.018
8	256	2048	0.169	4.066
9	256	2304	0.177	4.243
10	256	2560	0.166	3.981
11	256	2816	0.164	3.937
12	256	3072	0.168	4.035
13	256	3328	0.168	4.027
14	256	3584	0.168	4.022
15	256	3840	0.173	4.154
16	256	4096	0.171	4.103
17	256	4352	0.170	4.072
18	256	4608	0.171	4.111
19	256	4864	0.174	4.187
20	256	5120	0.171	4.116
21	256	5376	0.167	4.013
22	256	5632	0.161	3.866
23	256	5888	0.155	3.722
24	256	6144	0.158	3.788
25	256	6400	0.156	3.737
26	256	6656	0.157	3.760
27	256	6912	0.155	3.722
28	256	7168	0.155	3.708
29	256	7424	0.155	3.721
30	256	7680	0.154	3.686
31	256	7936	0.152	3.656
32	256	8192	0.152	3.637
64	256	16384	0.137	3.292
128	256	32768	0.131	3.144
256	256	65536	0.128	3.078
512	256	131072	0.128	3.060
1024	256	262144	0.126	3.025
2048	256	524288	0.126	3.025
4096	256	1048576	0.126	3.014
8192	256	2097152	0.126	3.015
16384	256	4194304	0.126	3.014
