#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.011	0.255
1	2	2	0.021	0.511
1	4	4	0.043	1.021
1	8	8	0.085	2.043
1	16	16	0.090	2.157
1	32	32	0.092	2.220
1	64	64	0.092	2.220
1	128	128	0.092	2.220
1	256	256	0.092	2.220
2	256	512	0.092	2.220
3	256	768	0.092	2.220
4	256	1024	0.119	2.850
5	256	1280	0.143	3.435
6	256	1536	0.166	3.979
7	256	1792	0.168	4.033
8	256	2048	0.168	4.034
9	256	2304	0.174	4.169
10	256	2560	0.165	3.967
11	256	2816	0.165	3.961
12	256	3072	0.169	4.046
13	256	3328	0.168	4.032
14	256	3584	0.166	3.994
15	256	3840	0.171	4.113
16	256	4096	0.169	4.045
17	256	4352	0.167	4.020
18	256	4608	0.171	4.103
19	256	4864	0.171	4.103
20	256	5120	0.174	4.166
21	256	5376	0.164	3.932
22	256	5632	0.161	3.859
23	256	5888	0.155	3.727
24	256	6144	0.161	3.859
25	256	6400	0.155	3.721
26	256	6656	0.156	3.744
27	256	6912	0.155	3.711
28	256	7168	0.155	3.715
29	256	7424	0.155	3.726
30	256	7680	0.153	3.663
31	256	7936	0.152	3.651
32	256	8192	0.151	3.619
64	256	16384	0.137	3.276
128	256	32768	0.131	3.152
256	256	65536	0.129	3.099
512	256	131072	0.128	3.066
1024	256	262144	0.127	3.038
2048	256	524288	0.126	3.018
4096	256	1048576	0.126	3.021
8192	256	2097152	0.126	3.019
16384	256	4194304	0.126	3.014
