#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	21.333	512.000
1	2	2	42.667	1024.000
1	4	4	85.333	2048.000
1	8	8	170.667	4096.000
1	16	16	215.579	5173.895
1	32	32	248.242	5957.818
1	64	64	248.242	5957.818
1	128	128	248.242	5957.818
1	256	256	248.242	5957.818
2	256	512	248.242	5957.818
3	256	768	248.242	5957.818
4	256	1024	3.829	91.895
5	256	1280	2.845	68.277
6	256	1536	8.322	199.739
7	256	1792	1.424	34.165
8	256	2048	1.104	26.498
9	256	2304	0.899	21.587
10	256	2560	0.919	22.052
11	256	2816	1.000	24.009
12	256	3072	1.046	25.110
13	256	3328	0.934	22.414
14	256	3584	0.926	22.225
15	256	3840	0.929	22.300
16	256	4096	0.883	21.203
17	256	4352	0.868	20.838
18	256	4608	0.871	20.911
19	256	4864	0.831	19.943
20	256	5120	0.812	19.483
21	256	5376	0.836	20.052
22	256	5632	0.840	20.157
23	256	5888	0.835	20.041
24	256	6144	0.828	19.880
25	256	6400	0.821	19.707
26	256	6656	0.822	19.739
27	256	6912	0.826	19.818
28	256	7168	0.838	20.117
29	256	7424	0.843	20.222
30	256	7680	0.844	20.265
31	256	7936	0.844	20.253
32	256	8192	0.845	20.290
64	256	16384	0.828	19.868
128	256	32768	0.823	19.741
256	256	65536	0.815	19.556
512	256	131072	0.812	19.493
1024	256	262144	0.809	19.422
2048	256	524288	0.807	19.377
4096	256	1048576	0.806	19.356
8192	256	2097152	0.806	19.346
16384	256	4194304	0.805	19.318
