#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.006	0.148
1	2	2	0.012	0.296
1	4	4	0.025	0.592
1	8	8	0.049	1.183
1	16	16	0.049	1.184
1	32	32	0.049	1.184
1	64	64	0.049	1.184
1	128	128	0.049	1.184
1	256	256	0.049	1.184
2	256	512	0.066	1.579
3	256	768	0.099	2.368
4	256	1024	0.101	2.422
5	256	1280	0.101	2.414
6	256	1536	0.099	2.383
7	256	1792	0.099	2.371
8	256	2048	0.099	2.373
9	256	2304	0.099	2.374
10	256	2560	0.099	2.377
11	256	2816	0.099	2.376
12	256	3072	0.099	2.378
13	256	3328	0.099	2.380
14	256	3584	0.099	2.374
15	256	3840	0.099	2.382
16	256	4096	0.099	2.375
17	256	4352	0.099	2.378
18	256	4608	0.099	2.374
19	256	4864	0.099	2.377
20	256	5120	0.099	2.377
21	256	5376	0.099	2.377
22	256	5632	0.099	2.377
23	256	5888	0.099	2.377
24	256	6144	0.099	2.375
25	256	6400	0.099	2.375
26	256	6656	0.099	2.379
27	256	6912	0.099	2.379
28	256	7168	0.099	2.373
29	256	7424	0.099	2.376
30	256	7680	0.099	2.375
31	256	7936	0.099	2.376
32	256	8192	0.099	2.384
64	256	16384	0.099	2.377
128	256	32768	0.099	2.376
256	256	65536	0.099	2.377
512	256	131072	0.099	2.377
1024	256	262144	0.099	2.377
2048	256	524288	0.099	2.377
4096	256	1048576	0.099	2.377
