#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.005	0.132
1	2	2	0.011	0.264
1	4	4	0.022	0.527
1	8	8	0.044	1.055
1	16	16	0.045	1.085
1	32	32	0.045	1.085
1	64	64	0.045	1.085
1	128	128	0.045	1.085
1	256	256	0.045	1.085
2	256	512	0.059	1.414
3	256	768	0.085	2.032
4	256	1024	0.088	2.123
5	256	1280	0.089	2.145
6	256	1536	0.086	2.063
7	256	1792	0.088	2.118
8	256	2048	0.087	2.089
9	256	2304	0.086	2.060
10	256	2560	0.085	2.043
11	256	2816	0.080	1.928
12	256	3072	0.080	1.923
13	256	3328	0.079	1.886
14	256	3584	0.077	1.851
15	256	3840	0.077	1.841
16	256	4096	0.077	1.839
17	256	4352	0.074	1.774
18	256	4608	0.073	1.753
19	256	4864	0.073	1.751
20	256	5120	0.074	1.777
21	256	5376	0.074	1.778
22	256	5632	0.073	1.763
23	256	5888	0.073	1.748
24	256	6144	0.072	1.729
25	256	6400	0.071	1.712
26	256	6656	0.072	1.719
27	256	6912	0.071	1.704
28	256	7168	0.073	1.748
29	256	7424	0.070	1.692
30	256	7680	0.071	1.707
31	256	7936	0.071	1.706
32	256	8192	0.072	1.720
64	256	16384	0.069	1.648
128	256	32768	0.067	1.620
256	256	65536	0.067	1.610
512	256	131072	0.067	1.598
1024	256	262144	0.067	1.596
2048	256	524288	0.066	1.594
4096	256	1048576	0.066	1.596
8192	256	2097152	0.066	1.593
16384	256	4194304	0.066	1.592
