#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.006	0.146
1	2	2	0.012	0.292
1	4	4	0.024	0.584
1	8	8	0.049	1.167
1	16	16	0.049	1.169
1	32	32	0.049	1.169
1	64	64	0.049	1.169
1	128	128	0.049	1.169
1	256	256	0.049	1.169
2	256	512	0.065	1.558
3	256	768	0.097	2.337
4	256	1024	0.099	2.387
5	256	1280	0.099	2.381
6	256	1536	0.098	2.352
7	256	1792	0.098	2.342
8	256	2048	0.098	2.346
9	256	2304	0.098	2.346
10	256	2560	0.098	2.347
11	256	2816	0.098	2.359
12	256	3072	0.098	2.346
13	256	3328	0.098	2.347
14	256	3584	0.098	2.349
15	256	3840	0.098	2.348
16	256	4096	0.097	2.330
17	256	4352	0.098	2.348
18	256	4608	0.097	2.339
19	256	4864	0.098	2.347
20	256	5120	0.098	2.347
21	256	5376	0.098	2.347
22	256	5632	0.098	2.347
23	256	5888	0.098	2.346
24	256	6144	0.097	2.339
25	256	6400	0.098	2.347
26	256	6656	0.098	2.347
27	256	6912	0.098	2.346
28	256	7168	0.098	2.341
29	256	7424	0.098	2.347
30	256	7680	0.097	2.339
31	256	7936	0.098	2.346
32	256	8192	0.098	2.347
64	256	16384	0.098	2.347
128	256	32768	0.098	2.347
256	256	65536	0.098	2.348
512	256	131072	0.098	2.347
1024	256	262144	0.098	2.347
2048	256	524288	0.098	2.347
4096	256	1048576	0.098	2.347
