#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.021	0.510
1	2	2	0.042	1.019
1	4	4	0.085	2.038
1	8	8	0.170	4.076
1	16	16	0.170	4.081
1	32	32	0.170	4.081
1	64	64	0.170	4.081
1	128	128	0.170	4.081
1	256	256	0.170	4.081
2	256	512	0.227	5.441
3	256	768	0.340	8.161
4	256	1024	0.342	8.213
5	256	1280	0.342	8.205
6	256	1536	0.341	8.183
7	256	1792	0.343	8.222
8	256	2048	0.343	8.225
9	256	2304	0.342	8.200
10	256	2560	0.343	8.223
11	256	2816	0.341	8.182
12	256	3072	0.343	8.229
13	256	3328	0.343	8.238
14	256	3584	0.343	8.236
15	256	3840	0.343	8.238
16	256	4096	0.343	8.228
17	256	4352	0.342	8.214
18	256	4608	0.342	8.205
19	256	4864	0.343	8.229
20	256	5120	0.343	8.231
21	256	5376	0.342	8.201
22	256	5632	0.343	8.223
23	256	5888	0.344	8.246
24	256	6144	0.343	8.228
25	256	6400	0.343	8.229
26	256	6656	0.343	8.232
27	256	6912	0.343	8.229
28	256	7168	0.343	8.233
29	256	7424	0.343	8.231
30	256	7680	0.343	8.234
31	256	7936	0.343	8.237
32	256	8192	0.343	8.229
64	256	16384	0.343	8.239
128	256	32768	0.343	8.235
256	256	65536	0.342	8.218
512	256	131072	0.343	8.233
1024	256	262144	0.343	8.227
