#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.021	0.509
1	2	2	0.042	1.018
1	4	4	0.085	2.036
1	8	8	0.170	4.071
1	16	16	0.170	4.078
1	32	32	0.170	4.081
1	64	64	0.170	4.081
1	128	128	0.170	4.081
1	256	256	0.170	4.081
2	256	512	0.170	4.081
3	256	768	0.170	4.081
4	256	1024	0.227	5.442
5	256	1280	0.283	6.802
6	256	1536	0.340	8.162
7	256	1792	0.351	8.425
8	256	2048	0.360	8.642
9	256	2304	0.367	8.812
10	256	2560	0.353	8.463
11	256	2816	0.345	8.289
12	256	3072	0.341	8.175
13	256	3328	0.341	8.174
14	256	3584	0.340	8.160
15	256	3840	0.330	7.921
16	256	4096	0.340	8.152
17	256	4352	0.342	8.196
18	256	4608	0.341	8.191
19	256	4864	0.342	8.199
20	256	5120	0.342	8.205
21	256	5376	0.344	8.255
22	256	5632	0.340	8.165
23	256	5888	0.343	8.236
24	256	6144	0.340	8.169
25	256	6400	0.342	8.209
26	256	6656	0.344	8.246
27	256	6912	0.341	8.186
28	256	7168	0.334	8.028
29	256	7424	0.342	8.215
30	256	7680	0.342	8.207
31	256	7936	0.343	8.242
32	256	8192	0.343	8.229
64	256	16384	0.342	8.204
128	256	32768	0.342	8.206
256	256	65536	0.342	8.204
512	256	131072	0.341	8.185
1024	256	262144	0.341	8.193
2048	256	524288	0.342	8.201
4096	256	1048576	0.342	8.201
8192	256	2097152	0.342	8.203
