#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.022	0.522
1	2	2	0.043	1.043
1	4	4	0.087	2.087
1	8	8	0.174	4.174
1	16	16	0.195	4.683
1	32	32	0.208	4.987
1	64	64	0.208	4.987
1	128	128	0.208	4.987
1	256	256	0.208	4.987
2	256	512	0.208	4.987
3	256	768	0.208	4.987
4	256	1024	0.255	6.120
5	256	1280	0.295	7.085
6	256	1536	0.330	7.918
7	256	1792	0.341	8.195
8	256	2048	0.357	8.569
9	256	2304	0.363	8.705
10	256	2560	0.352	8.458
11	256	2816	0.348	8.348
12	256	3072	0.339	8.127
13	256	3328	0.340	8.170
14	256	3584	0.347	8.322
15	256	3840	0.354	8.489
16	256	4096	0.349	8.371
17	256	4352	0.353	8.467
18	256	4608	0.350	8.399
19	256	4864	0.352	8.449
20	256	5120	0.351	8.426
21	256	5376	0.346	8.293
22	256	5632	0.333	8.004
23	256	5888	0.333	7.997
24	256	6144	0.332	7.977
25	256	6400	0.326	7.814
26	256	6656	0.327	7.853
27	256	6912	0.321	7.709
28	256	7168	0.332	7.964
29	256	7424	0.325	7.799
30	256	7680	0.326	7.823
31	256	7936	0.317	7.596
32	256	8192	0.332	7.968
64	256	16384	0.284	6.821
128	256	32768	0.259	6.214
256	256	65536	0.250	5.993
512	256	131072	0.247	5.923
1024	256	262144	0.245	5.886
2048	256	524288	0.244	5.852
4096	256	1048576	0.244	5.845
8192	256	2097152	0.243	5.829
16384	256	4194304	0.243	5.826
