#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.021	0.506
1	2	2	0.042	1.012
1	4	4	0.084	2.024
1	8	8	0.169	4.049
1	16	16	0.169	4.065
1	32	32	0.169	4.065
1	64	64	0.169	4.065
1	128	128	0.169	4.065
1	256	256	0.169	4.065
2	256	512	0.226	5.420
3	256	768	0.339	8.129
4	256	1024	0.341	8.189
5	256	1280	0.342	8.203
6	256	1536	0.341	8.187
7	256	1792	0.342	8.204
8	256	2048	0.342	8.204
9	256	2304	0.342	8.203
10	256	2560	0.342	8.205
11	256	2816	0.345	8.273
12	256	3072	0.341	8.188
13	256	3328	0.342	8.216
14	256	3584	0.343	8.226
15	256	3840	0.342	8.210
16	256	4096	0.342	8.211
17	256	4352	0.342	8.208
18	256	4608	0.342	8.214
19	256	4864	0.342	8.207
20	256	5120	0.342	8.206
21	256	5376	0.342	8.205
22	256	5632	0.342	8.210
23	256	5888	0.343	8.230
24	256	6144	0.342	8.212
25	256	6400	0.342	8.209
26	256	6656	0.342	8.216
27	256	6912	0.342	8.210
28	256	7168	0.342	8.209
29	256	7424	0.342	8.216
30	256	7680	0.342	8.214
31	256	7936	0.342	8.212
32	256	8192	0.342	8.200
64	256	16384	0.342	8.205
128	256	32768	0.342	8.210
256	256	65536	0.342	8.208
512	256	131072	0.342	8.210
1024	256	262144	0.342	8.211
2048	256	524288	0.341	8.176
4096	256	1048576	0.342	8.210
8192	256	2097152	0.342	8.202
16384	256	4194304	0.342	8.206
