#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.021	0.501
1	2	2	0.042	1.003
1	4	4	0.084	2.006
1	8	8	0.167	4.012
1	16	16	0.168	4.025
1	32	32	0.168	4.032
1	64	64	0.168	4.032
1	128	128	0.168	4.032
1	256	256	0.168	4.032
2	256	512	0.168	4.032
3	256	768	0.168	4.032
4	256	1024	0.224	5.376
5	256	1280	0.280	6.719
6	256	1536	0.336	8.063
7	256	1792	0.346	8.302
8	256	2048	0.354	8.504
9	256	2304	0.361	8.663
10	256	2560	0.348	8.355
11	256	2816	0.341	8.193
12	256	3072	0.337	8.092
13	256	3328	0.337	8.086
14	256	3584	0.336	8.064
15	256	3840	0.335	8.029
16	256	4096	0.335	8.051
17	256	4352	0.338	8.101
18	256	4608	0.337	8.096
19	256	4864	0.338	8.102
20	256	5120	0.338	8.110
21	256	5376	0.339	8.137
22	256	5632	0.338	8.107
23	256	5888	0.336	8.075
24	256	6144	0.338	8.114
25	256	6400	0.338	8.113
26	256	6656	0.338	8.111
27	256	6912	0.339	8.139
28	256	7168	0.337	8.087
29	256	7424	0.338	8.105
30	256	7680	0.338	8.100
31	256	7936	0.338	8.104
32	256	8192	0.338	8.107
64	256	16384	0.338	8.102
128	256	32768	0.338	8.108
256	256	65536	0.338	8.102
512	256	131072	0.338	8.103
1024	256	262144	0.338	8.103
2048	256	524288	0.336	8.069
4096	256	1048576	0.338	8.103
8192	256	2097152	0.337	8.094
16384	256	4194304	0.337	8.098
