A4_free	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20
1	404840	404840	404840	404840	404840	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	174924	580418	176076	581876	174858	581948	581948	582024	582254	582254	582308	582830	582974	583065
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	111138	517884	112571	518694	111136	519342	519469	519954	519954	519954	521014	521304	521304	521700
1	119790	526302	121140	526410	119932	526572	526860	527016	527706	527706	527803	527814	528282	528534
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	203510	609682	205351	610852	204446	610996	611176	611356	611374	611380	611860	612112	612184	612184
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	183293	589460	184319	589885	183126	590000	590234	590846	590882	591455	591602	591872	591962	592024
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	699384	1111426	569207	1109958	657250	1109262	1108158	1107726	1107690	1107137	1106801	1106286	1106232	1106232
1	158924	565448	160056	565498	158754	566924	567050	567050	567247	567392	567590	568454	568454	568616
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
1	164082	572442	166475	572658	164542	573180	573612	574008	574242	574548	574926	574980	574980	576366
1	60672	466948	62225	467596	61190	468028	468028	468028	468666	469522	469522	469684	469684	469720
1	0	404840	403	404840	0	404840	404840	404840	404840	404840	404840	404840	404840	404840
