A4_free	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20		A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108		0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	75448	282070	76138	282196	282734	283546	283564	283582	283582	283744	283782	284838	285508	285508															
1	57618	262811	58619	264688	264688	264868	265012	265317	265786	265786	265786	266650	267207	267334															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	157104	362796	157728	364254	364254	364254	364272	364330	365172	365298	365298	365568	365568	365727															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	217085	423706	217758	423940	424551	424678	424786	425362	425740	425848	426991	427108	427162	427162															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	527377	1140688	484519	1140562	1140184	1140184	1140184	1140184	1140010	1138870	1138690	1138071	1137304	1136580															
1	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	21703	253284	6459	253284	253284	253284	253284	253284	253284	253284	253284	253284	253264	253259															
1	180224	386844	181267	387249	388428	388518	388842	388914	388953	390330	390390	390390	390714	391308															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	134984	341676	135824	341982	342126	342417	343566	343746	343746	343854	343854	344571	345330	345420															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	60824	266586	61696	268134	268206	268386	268836	269340	269502	269952	270143	271160	271266	271536															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	69741	275434	70353	275736	275973	277320	277320	277410	277410	277662	278184	279174	279174	279264															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	67522	273328	67852	273436	273436	273796	274624	274660	274678	274822	274930	274999	275434	275668															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	46364	251968	46968	252958	253210	253354	253372	253462	254563	255010	255010	255082	255082	255511															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	63492	269613	64324	270464	270536	270536	270806	270806	270968	270968	270968	271013	272552	272570															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	238744	444308	239632	445604	445635	445712	445712	446597	446900	446900	447221	447262	448187	448484															
1	49711	255656	50013	256530	257312	257330	257330	257348	257654	258068	258821	258896	259436	259436															
1	126063	332470	127130	333802	360874	360982	360982	361141	362494	362530	362530	362602	363178	363178															
1	204900	410826	205595	411960	411996	412140	412140	412467	413202	413634	413670	414210	414552	414929															
1	206396	412148	207426	413328	413328	413418	413436	413742	413900	414102	414575	414696	415048	415236															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	56690	263468	57479	263486	263486	263738	263936	265376	265520	265520	266039	266816	267176	267176															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	67597	273012	67931	273778	274542	274578	274722	274830	274884	275136	275316	275586	275704	276360															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	201130	407030	201613	407353	407464	407480	407607	408866	408956	409010	409072	409982	410072	410216															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
1	0	205108	8	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108	205108															
